Chart Recorder Data File Thu, Mar 03, 2022 11:12 AM
CH1 (V)  	CH2 (V)  
14.834472656	0.271484375
14.943779297	0.283691406
15.068701172	0.299316406
15.178007813	0.312988281
15.302929687	0.330078125
15.412236328	0.345703125
15.537158203	0.363769531
15.646464844	0.379394531
15.771386719	0.394531250
15.865078125	0.405273437
15.974384766	0.412109375
16.083691406	0.414062500
16.208613281	0.410644531
16.317919922	0.404296875
16.427226562	0.395019531
16.552148438	0.385253906
16.661455078	0.375000000
16.770761719	0.363281250
16.895683594	0.349609375
17.004990234	0.334960937
17.129912109	0.320800781
17.239218750	0.308593750
17.364140625	0.296875000
17.473447266	0.286621094
17.598369141	0.276367187
17.707675781	0.268554687
17.832597656	0.262695312
17.941904297	0.258789062
18.051210937	0.256347656
18.160517578	0.255859375
18.285439453	0.256835937
18.394746094	0.259277344
18.519667969	0.264160156
18.628974609	0.270507812
18.753896484	0.277832031
18.847587891	0.286132812
18.972509766	0.295898437
19.081816406	0.306152344
19.206738281	0.319335937
19.316044922	0.332031250
19.440966797	0.345703125
19.550273437	0.359863281
19.675195313	0.375488281
19.784501953	0.390625000
19.893808594	0.407714844
19.987500000	0.423828125
20.112421875	0.442871094
20.221728516	0.459472656
20.346650391	0.477050781
20.455957031	0.493164062
20.580878906	0.506347656
20.690185547	0.516113281
20.815107422	0.520507812
20.924414062	0.520507812
21.049335938	0.516601562
21.158642578	0.510742187
21.283564453	0.504394531
21.377255859	0.497558594
21.502177734	0.486816406
21.611484375	0.476562500
21.736406250	0.463867187
21.845712891	0.452148437
21.955019531	0.437500000
22.064326172	0.425292969
22.189248047	0.411621094
22.314169922	0.400878906
22.423476562	0.388183594
22.532783203	0.378417969
22.657705078	0.368164062
22.767011719	0.362304687
22.891933594	0.355957031
23.001240234	0.353027344
23.110546875	0.349609375
23.235468750	0.349609375
23.344775391	0.350097656
23.469697266	0.353515625
23.579003906	0.357910156
23.688310547	0.365234375
23.813232422	0.372558594
23.906923828	0.381835937
24.016230469	0.393066406
24.141152344	0.404785156
24.250458984	0.417968750
24.359765625	0.432617187
24.484687500	0.447265625
24.593994141	0.463867187
24.718916016	0.480957031
24.828222656	0.498046875
24.937529297	0.516113281
25.062451172	0.534179687
25.187373047	0.552246094
25.296679687	0.570800781
25.405986328	0.586914062
25.515292969	0.601562500
25.640214844	0.612792969
25.765136719	0.620605469
25.874443359	0.622070312
25.983750000	0.622070312
26.093056641	0.615722656
26.217978516	0.609863281
26.327285156	0.599121094
26.452207031	0.588378906
26.561513672	0.570800781
26.686435547	0.556152344
26.795742188	0.541503906
26.905048828	0.532226562
27.029970703	0.520507812
27.139277344	0.510742187
27.264199219	0.498535156
27.373505859	0.489746094
27.498427734	0.479003906
27.592119141	0.472167969
27.717041016	0.463378906
27.826347656	0.458496094
27.935654297	0.452148437
28.044960938	0.449218750
28.169882812	0.445312500
28.279189453	0.446289062
28.388496094	0.445800781
28.497802734	0.449707031
28.622724609	0.452148437
28.747646484	0.458984375
28.856953125	0.464843750
28.966259766	0.475097656
29.075566406	0.483398437
29.200488281	0.496093750
29.325410156	0.506835937
29.419101562	0.521484375
29.419101562	0.520507812
29.419101562	0.521972656
29.403486328	0.520507812
29.419101562	0.521972656
29.403486328	0.520996094
29.419101562	0.522460937
29.419101562	0.520996094
29.419101562	0.522460937
29.419101562	0.520507812
29.419101562	0.522460937
29.419101562	0.520996094
29.419101562	0.522460937
29.419101562	0.520507812
29.419101562	0.521972656
29.419101562	0.520507812
29.419101562	0.522460937
29.403486328	0.520507812
29.419101562	0.521972656
29.403486328	0.520507812
29.419101562	0.521972656
29.419101562	0.519531250
29.419101562	0.521484375
29.403486328	0.520019531
29.419101562	0.521484375
29.403486328	0.519531250
29.419101562	0.521972656
29.403486328	0.520019531
29.419101562	0.521972656
29.403486328	0.520019531
29.419101562	0.521972656
29.419101562	0.520019531
29.403486328	0.521484375
29.419101562	0.519531250
29.419101562	0.521972656
29.419101562	0.519531250
29.419101562	0.521972656
29.403486328	0.519531250
29.419101562	0.521484375
29.403486328	0.519531250
29.419101562	0.521484375
29.419101562	0.519042969
29.419101562	0.520507812
29.419101562	0.518554687
29.419101562	0.520996094
29.403486328	0.518554687
29.419101562	0.520996094
29.403486328	0.518554687
29.419101562	0.521484375
29.403486328	0.519042969
29.419101562	0.520996094
29.403486328	0.518554687
